代码,名称,板块,最新价,涨跌幅,涨跌额,今开,最高,最低,昨收,成交额,日内位置,行情时间,数据源,AI分,AI优先级,AI建议
688012,中微公司,半导体设备,422.0,5.73,22.87,397.0,423.8,393.24,399.13,101.16,94.1,2026-06-26 13:22:40,新浪,96,★★★★★,优先关注，可考虑
688082,盛美上海,半导体设备,422.08,2.21,9.11,404.71,427.99,392.05,412.97,24.68,83.6,2026-06-26 13:22:41,新浪,88,★★★★★,优先关注，可考虑
002371,北方华创,半导体设备,810.04,1.51,12.04,795.0,828.0,782.17,798.0,74.08,60.8,2026-06-26 13:22:39,新浪,85,★★★★★,优先关注，可考虑
688120,华海清科,半导体设备,262.89,4.11,10.39,250.0,263.59,246.2,252.5,26.35,96.0,2026-06-26 13:22:41,新浪,84,★★★★★,优先关注，可考虑
688072,拓荆科技,半导体设备,840.92,2.18,17.92,806.66,865.0,790.0,823.0,49.02,67.9,2026-06-26 13:22:38,新浪,84,★★★★★,优先关注，可考虑
001309,德明利,存储,900.02,1.01,9.02,881.1,927.21,872.31,891.0,129.62,50.5,2026-06-26 13:22:39,新浪,84,★★★★★,优先关注，可考虑
688126,沪硅产业,半导体材料,35.79,7.45,2.48,33.89,36.06,32.36,33.31,71.44,92.7,2026-06-26 13:22:39,新浪,71,★★★★☆,重点观察，等回踩
688037,芯源微,半导体设备,354.99,6.6,21.99,330.0,363.0,328.0,333.0,27.54,77.1,2026-06-26 13:22:39,新浪,70,★★★★☆,重点观察，等回踩
688256,寒武纪,国产算力,1479.0,-1.73,-26.0,1482.0,1518.98,1415.0,1505.0,137.5,61.6,2026-06-26 13:22:38,新浪,64,★★★☆☆,观察，不急买
688627,精智达,检测设备,660.0,3.29,21.0,639.12,676.0,631.13,639.0,30.4,64.3,2026-06-26 13:22:41,新浪,63,★★★☆☆,观察，不急买
300604,长川科技,检测设备,321.15,3.6,11.16,311.0,332.0,310.95,309.99,87.17,48.5,2026-06-26 13:22:39,新浪,63,★★★☆☆,观察，不急买
688200,华峰测控,检测设备,466.78,2.65,12.04,451.0,475.0,446.0,454.74,14.72,71.7,2026-06-26 13:22:41,新浪,63,★★★☆☆,观察，不急买
688361,中科飞测,检测设备,355.76,7.16,23.76,332.0,372.0,325.0,332.0,25.88,65.4,2026-06-26 13:22:39,新浪,55,★★★☆☆,观察，不急买
688041,海光信息,国产算力,350.66,-2.67,-9.62,355.0,358.0,337.93,360.28,98.96,63.4,2026-06-26 13:22:41,新浪,41,★★☆☆☆,暂缓
300666,江丰电子,半导体材料,360.8,9.33,30.8,326.7,362.0,324.48,330.0,73.16,96.8,2026-06-26 13:22:39,新浪,41,★★☆☆☆,暂缓；涨幅过大
002384,东山精密,AI PCB,264.49,-4.1,-11.31,268.0,271.88,256.0,275.8,141.11,53.5,2026-06-26 13:22:39,新浪,40,★★☆☆☆,暂缓
688396,华润微,功率半导体,85.1,0.45,0.38,83.5,88.85,82.0,84.72,27.13,45.3,2026-06-26 13:22:40,新浪,40,★★☆☆☆,暂缓
300308,中际旭创,光模块,1267.07,-4.26,-56.33,1296.0,1296.94,1235.13,1323.4,342.73,51.7,2026-06-26 13:22:39,新浪,36,★★☆☆☆,暂缓
600183,生益科技,AI PCB,178.04,-4.89,-9.16,182.0,182.3,171.69,187.2,93.11,59.8,2026-06-26 13:22:39,新浪,35,★★☆☆☆,暂缓
688141,杰华特,电源芯片,147.84,0.65,0.96,145.0,153.99,143.13,146.88,16.78,43.4,2026-06-26 13:22:38,新浪,34,★★☆☆☆,暂缓
601138,工业富联,AI服务器,72.1,-6.35,-4.89,75.0,75.0,70.28,76.99,139.75,38.6,2026-06-26 13:22:39,新浪,33,★★☆☆☆,暂缓
603986,兆易创新,存储,754.8,-2.63,-20.41,753.0,779.0,732.52,775.21,275.18,47.9,2026-06-26 13:22:40,新浪,33,★★☆☆☆,暂缓
300373,扬杰科技,功率半导体,135.9,-1.13,-1.55,133.88,142.67,129.51,137.45,33.39,48.6,2026-06-26 13:22:39,新浪,30,★★☆☆☆,暂缓
300502,新易盛,光模块,570.28,-6.59,-40.21,598.0,598.0,550.0,610.49,282.28,42.2,2026-06-26 13:22:39,新浪,29,★★☆☆☆,暂缓
300394,天孚通信,光模块,324.17,-5.21,-17.8,331.0,334.68,316.8,341.97,120.61,41.2,2026-06-26 13:22:39,新浪,29,★★☆☆☆,暂缓
688008,澜起科技,芯片设计,264.13,-5.38,-15.03,272.51,276.97,257.02,279.16,155.32,35.6,2026-06-26 13:22:39,新浪,29,★★☆☆☆,暂缓
688052,纳芯微,模拟芯片,281.0,-0.9,-2.55,280.43,289.98,276.0,283.55,13.1,35.8,2026-06-26 13:22:40,新浪,29,★★☆☆☆,暂缓
688981,中芯国际,晶圆制造,149.14,-4.92,-7.72,153.7,156.22,146.5,156.86,117.42,27.2,2026-06-26 13:22:40,新浪,28,★★☆☆☆,暂缓
688047,龙芯中科,国产算力,146.9,-3.47,-5.28,150.0,150.12,141.71,152.18,11.97,61.7,2026-06-26 13:22:38,新浪,28,★★☆☆☆,暂缓
002463,沪电股份,AI PCB,147.16,-5.05,-7.83,152.98,155.25,143.26,154.99,94.08,32.5,2026-06-26 13:22:39,新浪,28,★★☆☆☆,暂缓
002436,兴森科技,IC载板,51.99,-2.88,-1.54,53.0,54.79,49.92,53.53,58.6,42.5,2026-06-26 13:22:39,新浪,28,★★☆☆☆,暂缓
603290,斯达半导,功率半导体,136.42,-1.3,-1.8,138.32,141.95,133.51,138.22,11.97,34.5,2026-06-26 13:22:39,新浪,24,★★☆☆☆,暂缓
300476,胜宏科技,AI PCB,325.72,-6.98,-24.44,340.0,341.0,320.01,350.16,134.94,27.2,2026-06-26 13:22:39,新浪,22,★★☆☆☆,暂缓
002916,深南电路,AI PCB,434.01,-4.61,-20.99,448.0,448.8,420.47,455.0,38.48,47.8,2026-06-26 13:22:39,新浪,21,★★☆☆☆,暂缓
002281,光迅科技,光模块,242.41,-7.29,-19.05,256.0,256.27,237.0,261.46,106.93,28.1,2026-06-26 13:22:39,新浪,18,★★☆☆☆,暂缓
603893,瑞芯微,芯片设计,183.68,-2.55,-4.81,185.0,187.43,177.51,188.49,18.64,62.2,2026-06-26 13:22:40,新浪,18,★★☆☆☆,暂缓
688300,联瑞新材,半导体材料,261.4,-3.18,-8.59,260.03,269.8,251.87,269.99,18.88,53.2,2026-06-26 13:22:40,新浪,18,★★☆☆☆,暂缓
300661,圣邦股份,模拟芯片,133.23,-3.65,-5.05,139.0,141.02,129.0,138.28,20.13,35.2,2026-06-26 13:22:39,新浪,17,★★☆☆☆,暂缓
300442,润泽科技,算力中心,78.9,-5.61,-4.69,82.0,82.0,77.56,83.59,27.18,30.2,2026-06-26 13:22:39,新浪,12,★★☆☆☆,暂缓
002049,紫光国微,特种芯片,84.91,-2.96,-2.59,86.01,87.64,82.81,87.5,31.66,43.5,2026-06-26 13:22:39,新浪,12,★★☆☆☆,暂缓
603228,景旺电子,AI PCB,72.99,-5.98,-4.64,76.08,76.48,71.82,77.63,20.72,25.1,2026-06-26 13:22:40,新浪,10,★★☆☆☆,暂缓
000977,浪潮信息,AI服务器,64.7,-5.64,-3.87,67.0,67.2,63.66,68.57,40.39,29.4,2026-06-26 13:22:39,新浪,10,★★☆☆☆,暂缓
688017,绿的谐波,机器人,377.0,-3.58,-14.0,385.66,396.76,370.7,391.0,33.78,24.2,2026-06-26 13:22:38,新浪,1,★★☆☆☆,暂缓
002130,沃尔核材,高速互联,17.96,-6.26,-1.2,19.0,19.1,17.85,19.16,6.01,8.8,2026-06-26 13:22:39,新浪,0,★★☆☆☆,暂缓；成交额偏小
688668,鼎通科技,连接器,374.56,-6.81,-27.35,400.55,401.96,363.36,401.91,17.02,29.0,2026-06-26 13:22:39,新浪,0,★★☆☆☆,暂缓
600536,中国软件,国产软件,28.0,-3.55,-1.03,28.89,28.96,27.85,29.03,3.52,13.5,2026-06-26 13:22:40,新浪,0,★★☆☆☆,暂缓；成交额偏小
688251,井松智能,机器人,25.93,-6.08,-1.68,27.21,27.56,25.75,27.61,0.71,9.9,2026-06-26 13:22:38,新浪,0,★★☆☆☆,暂缓；成交额偏小
300496,中科创达,智能汽车,60.18,-2.81,-1.74,61.5,61.5,59.25,61.92,6.76,41.3,2026-06-26 13:22:39,新浪,0,★★☆☆☆,暂缓；成交额偏小
300124,汇川技术,机器人,63.86,-4.46,-2.98,66.4,66.75,63.43,66.84,19.24,13.0,2026-06-26 13:22:39,新浪,0,★★☆☆☆,暂缓
688306,均普智能,机器人,8.96,-3.76,-0.35,9.31,9.31,8.91,9.31,1.06,12.5,2026-06-26 13:22:35,新浪,0,★★☆☆☆,暂缓；成交额偏小
