代码,名称,最新价,涨跌幅,最高,最低,成交额,行情时间,类型,所属板块
002371,北方华创,709.67,-0.4,725.68,709.0,3110530000.0,20260821140048,自选股,半导体设备
688012,中微公司,360.67,-1.32,369.75,359.5,4259370000.0,20260821140048,自选股,半导体设备
688072,拓荆科技,671.63,0.06,699.66,670.3,2910810000.0,20260821140048,自选股,半导体设备
688120,华海清科,270.26,-3.65,280.5,268.76,1732800000.0,20260821140046,自选股,半导体设备
688037,芯源微,364.46,-0.85,375.5,353.23,1463610000.0,20260821140048,自选股,半导体设备
002916,深南电路,357.3,3.57,362.0,342.98,2373720000.0,20260821140048,自选股,PCB
300476,胜宏科技,252.59,-0.34,257.0,248.51,4800040000.0,20260821140045,自选股,PCB
002463,沪电股份,120.52,5.42,122.51,113.39,4997070000.0,20260821140048,自选股,PCB
600584,长电科技,78.05,-1.8,80.5,77.51,6030100000.0,20260821140047,自选股,封测
688041,海光信息,242.76,-1.45,249.32,242.22,3790150000.0,20260821140046,自选股,国产算力
603019,中科曙光,83.66,-0.81,84.65,83.29,1420620000.0,20260821140048,自选股,国产算力
001309,德明利,404.5,1.61,408.06,393.0,3286460000.0,20260821140048,自选股,存储芯片
600183,生益科技,131.97,4.51,134.86,124.88,7436300000.0,20260821140048,自选股,覆铜板
688981,中芯国际,124.5,-0.8,126.86,124.2,3021630000.0,20260821140046,自选股,晶圆制造
688008,澜起科技,199.94,0.42,204.18,199.11,3286920000.0,20260821140048,自选股,存储/接口芯片
603986,兆易创新,403.45,-0.01,411.0,400.1,9812950000.0,20260821140046,自选股,存储芯片
300661,圣邦股份,114.65,-1.66,118.12,114.01,749190000.0,20260821140045,自选股,模拟芯片
688052,纳芯微,243.38,-0.78,250.68,240.69,636300000.0,20260821140048,自选股,模拟芯片
603893,瑞芯微,180.22,-1.33,182.65,178.18,1221370000.0,20260821140046,自选股,芯片设计
688300,联瑞新材,143.32,0.53,151.38,137.18,1460030000.0,20260821140045,自选股,半导体材料
300308,中际旭创,933.82,3.28,943.88,901.4,21499590000.0,20260821140045,自选股,光模块/CPO
300502,新易盛,438.7,5.96,443.63,420.06,17572800000.0,20260821140045,自选股,光模块/CPO
300394,天孚通信,272.3,-1.43,288.0,272.02,11247050000.0,20260821140045,自选股,光模块/CPO
002281,光迅科技,176.45,1.91,182.93,173.26,4924390000.0,20260821140048,自选股,光模块/CPO
601138,工业富联,62.21,0.13,62.88,61.38,3335680000.0,20260821140047,自选股,AI服务器
000977,浪潮信息,76.0,1.23,76.59,74.25,3058420000.0,20260821140048,自选股,AI服务器
688047,龙芯中科,106.74,-0.24,108.45,105.93,202080000.0,20260821140047,自选股,国产CPU
688256,寒武纪,1026.0,1.5,1061.47,996.0,10467720000.0,20260821140048,自选股,国产AI芯片
300496,中科创达,56.48,-1.71,57.1,56.09,319920000.0,20260821140045,自选股,软件/智能驾驶
002049,紫光国微,62.44,-0.59,63.12,62.25,586720000.0,20260821140048,自选股,芯片设计
002384,东山精密,200.62,1.49,205.0,196.0,8393790000.0,20260821140048,自选股,PCB/消费电子
603228,景旺电子,94.85,6.31,96.82,88.4,3552310000.0,20260821140048,自选股,PCB
002436,兴森科技,35.05,3.67,35.99,33.4,3727380000.0,20260821140048,自选股,PCB
688126,沪硅产业,24.42,-0.12,25.15,23.93,1304470000.0,20260821140046,自选股,半导体材料
688141,杰华特,122.29,0.39,126.42,119.57,948400000.0,20260821140048,自选股,电源芯片
688082,盛美上海,298.61,1.22,306.69,290.5,1406160000.0,20260821140046,自选股,半导体设备
688627,精智达,482.75,-0.19,492.5,470.99,1967990000.0,20260821140046,自选股,检测设备/显示
688668,鼎通科技,250.67,2.0,258.1,241.0,967780000.0,20260821140048,自选股,光通信
002130,沃尔核材,16.24,-0.25,16.36,16.0,157000000.0,20260821140048,自选股,高速铜缆
300604,长川科技,276.98,0.45,284.58,270.02,2848090000.0,20260821140045,自选股,半导体设备
688200,华峰测控,407.71,-1.9,418.09,402.2,857600000.0,20260821140046,自选股,半导体检测
